device_name,logical_name,item,stats_type,value,och,center_frequency,och_group,time,side,pn
T3,/1/1/L1,preFecBer,max,0.00202,1,191400000,1,2000/1/1 01:00,Z,ot1
T3,/1/3/L1,preFecBer,max,0.00245,2,191600000,1,2000/1/1 01:00,Z,ot1
T3,/1/5/L1,preFecBer,max,0.00294,3,191800000,1,2000/1/1 01:00,Z,ot1
T3,/1/1/L1,preFecBer,min,0.00189,1,191400000,1,2000/1/1 01:00,Z,ot1
T3,/1/3/L1,preFecBer,min,0.00231,2,191600000,1,2000/1/1 01:00,Z,ot1
T3,/1/5/L1,preFecBer,min,0.00267,3,191800000,1,2000/1/1 01:00,Z,ot1
T4,/1/1/L1,preFecBer,avg,2.75E-05,6,191500000,2,2000/1/1 01:00,Z,ot1
T4,/1/2/L1,preFecBer,avg,2.99E-05,4,191700000,2,2000/1/1 01:00,Z,ot1
T4,/1/3/L1,preFecBer,avg,1.87E-05,5,191900000,2,2000/1/1 01:00,Z,ot1
T4,/1/1/L1,preFecBer,instant,2.78E-05,6,191500000,2,2000/1/1 01:00,Z,ot1
T4,/1/2/L1,preFecBer,instant,2.99E-05,4,191700000,2,2000/1/1 01:00,Z,ot1
T4,/1/3/L1,preFecBer,instant,1.88E-05,5,191900000,2,2000/1/1 01:00,Z,ot1
T4,/1/1/L1,preFecBer,max,2.91E-05,6,191500000,2,2000/1/1 01:00,Z,ot1
T4,/1/2/L1,preFecBer,max,3.14E-05,4,191700000,2,2000/1/1 01:00,Z,ot1
T4,/1/3/L1,preFecBer,max,1.99E-05,5,191900000,2,2000/1/1 01:00,Z,ot1
T4,/1/1/L1,preFecBer,min,2.60E-05,6,191500000,2,2000/1/1 01:00,Z,ot1
T4,/1/2/L1,preFecBer,min,2.87E-05,4,191700000,2,2000/1/1 01:00,Z,ot1
T4,/1/3/L1,preFecBer,min,1.78E-05,5,191900000,2,2000/1/1 01:00,Z,ot1
T1,/1/4/L1,preFecBer,avg,5.61E-05,2,191600000,1,2000/1/1 01:00,A,ot1
T1,/1/6/L1,preFecBer,avg,6.33E-05,1,191400000,1,2000/1/1 01:00,A,ot1
T1,/1/4/L1,preFecBer,instant,5.64E-05,2,191600000,1,2000/1/1 01:00,A,ot1
T1,/1/6/L1,preFecBer,instant,6.36E-05,1,191400000,1,2000/1/1 01:00,A,ot1
T1,/1/4/L1,preFecBer,max,5.91E-05,2,191600000,1,2000/1/1 01:00,A,ot1
T1,/1/6/L1,preFecBer,max,6.52E-05,1,191400000,1,2000/1/1 01:00,A,ot1
T1,/1/4/L1,preFecBer,min,5.43E-05,2,191600000,1,2000/1/1 01:00,A,ot1
T1,/1/6/L1,preFecBer,min,6.09E-05,1,191400000,1,2000/1/1 01:00,A,ot1
T2,/1/1/L1,preFecBer,avg,4.88E-05,3,191800000,1,2000/1/1 01:00,A,ot1
T2,/1/1/L1,preFecBer,instant,4.99E-05,3,191800000,1,2000/1/1 01:00,A,ot1
T2,/1/1/L1,preFecBer,max,5.05E-05,3,191800000,1,2000/1/1 01:00,A,ot1
T2,/1/1/L1,preFecBer,min,4.76E-05,3,191800000,1,2000/1/1 01:00,A,ot1
T3,/1/2/L1,preFecBer,avg,0.000845,6,191500000,2,2000/1/1 01:00,A,ot1
T3,/1/4/L1,preFecBer,avg,0.000988,4,191700000,2,2000/1/1 01:00,A,ot1
T3,/1/6/L1,preFecBer,avg,0.000594,5,191900000,2,2000/1/1 01:00,A,ot1
T3,/1/2/L1,preFecBer,instant,0.000848,6,191500000,2,2000/1/1 01:00,A,ot1
T3,/1/4/L1,preFecBer,instant,0.000991,4,191700000,2,2000/1/1 01:00,A,ot1
T3,/1/6/L1,preFecBer,instant,0.000585,5,191900000,2,2000/1/1 01:00,A,ot1
T3,/1/2/L1,preFecBer,max,0.000874,6,191500000,2,2000/1/1 01:00,A,ot1
T3,/1/4/L1,preFecBer,max,0.00103,4,191700000,2,2000/1/1 01:00,A,ot1
T3,/1/6/L1,preFecBer,max,0.000613,5,191900000,2,2000/1/1 01:00,A,ot1
T3,/1/2/L1,preFecBer,min,0.000803,6,191500000,2,2000/1/1 01:00,A,ot1
T3,/1/4/L1,preFecBer,min,0.000939,4,191700000,2,2000/1/1 01:00,A,ot1
T3,/1/6/L1,preFecBer,min,0.000572,5,191900000,2,2000/1/1 01:00,A,ot1
T3,/1/1/L1,preFecBer,avg,0.00198,1,191400000,1,2000/1/1 02:00,Z,ot1
T3,/1/3/L1,preFecBer,avg,0.00242,2,191600000,1,2000/1/1 02:00,Z,ot1
T3,/1/5/L1,preFecBer,avg,0.00282,3,191800000,1,2000/1/1 02:00,Z,ot1
